Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Jared Abbrederis,WR,Wisconsin,College Stats,1-Jun,195,4.5,30.5,4,117,6.8,4.08,Green Bay Packers / 5th / 176th pick / 2014
Davante Adams,WR,Fresno State,College Stats,1-Jun,212,4.56,39.5,14,123,6.82,4.3,Green Bay Packers / 2nd / 53rd pick / 2014
Mo Alexander,S,Utah State,College Stats,1-Jun,220,4.5,38,,123,7.05,4.51,St. Louis Rams / 4th / 110th pick / 2014
Ricardo Allen,CB,Purdue,College Stats,9-May,187,4.61,35.5,13,117,,4.15,Atlanta Falcons / 5th / 147th pick / 2014
Jace Amaro,TE,Texas Tech,College Stats,5-Jun,265,4.74,33,28,118,7.42,4.3,New York Jets / 2nd / 49th pick / 2014
Antonio Andrews,RB,Western Kentucky,College Stats,10-May,225,4.82,29.5,20,106,7.24,4.49,
Dri Archer,WR,Kent State,College Stats,8-May,173,4.26,38,20,122,6.86,4.06,Pittsburgh Steelers / 3rd / 97th pick / 2014
Matt Armstrong,C,Grand Valley State,,2-Jun,302,5.18,,,,,,
George Atkinson,RB,Notre Dame,,1-Jun,218,4.48,38,19,121,7.07,4.46,
Jeremiah Attaochu,OLB,Georgia Tech,College Stats,3-Jun,252,,,,,,,San Diego Chargers / 2nd / 50th pick / 2014
Dion Bailey,S,USC,College Stats,Jun-00,201,4.66,34,,113,6.97,4.15,
Anthony Barr,OLB,UCLA,College Stats,5-Jun,255,4.66,34.5,15,119,6.82,4.19,Minnesota Vikings / 1st / 9th pick / 2014
Lamin Barrow,ILB,LSU,College Stats,1-Jun,237,4.64,35,22,123,7.24,4.35,Denver Broncos / 5th / 156th pick / 2014
Deion Belue,CB,Alabama,College Stats,11-May,182,4.48,,11,,,,
Kelvin Benjamin,WR,Florida State,College Stats,5-Jun,240,4.61,32.5,13,119,7.33,4.39,Carolina Panthers / 1st / 28th pick / 2014
Bene' Benwikere,CB,San Jose State,College Stats,11-May,195,4.59,40.5,10,122,6.94,4.38,Carolina Panthers / 5th / 148th pick / 2014
Nat Berhe,S,San Diego State,College Stats,10-May,193,4.71,35.5,15,117,7.08,4.22,New York Giants / 5th / 152nd pick / 2014
Kapri Bibbs,RB,Colorado State,College Stats,9-May,212,4.67,29,24,106,,,
Joel Bitonio,OG,Nevada,College Stats,4-Jun,302,4.92,32,22,114,7.37,4.44,Cleveland Browns / 2nd / 35th pick / 2014
Rob Blanchflower,TE,Massachusetts,College Stats,4-Jun,256,4.82,,,,,,Pittsburgh Steelers / 7th / 230th pick / 2014
Alfred Blue,RB,LSU,College Stats,2-Jun,223,4.63,32,13,121,7.15,4.5,Houston Texans / 6th / 181st pick / 2014
Russell Bodine,OG,North Carolina,College Stats,3-Jun,310,5.18,29,42,109,8.26,4.66,Cincinnati Bengals / 4th / 111th pick / 2014
Conor Boffeli,OG,Iowa,,4-Jun,298,5.3,25,21,101,7.44,4.61,
Chris Borland,ILB,Wisconsin,College Stats,11-May,248,4.83,31,27,114,7.18,4.27,San Francisco 49ers / 3rd / 77th pick / 2014
Blake Bortles,QB,Central Florida,College Stats,5-Jun,232,4.93,32.5,,115,7.08,4.21,Jacksonville Jaguars / 1st / 3rd pick / 2014
Tre Boston,S,North Carolina,College Stats,Jun-00,204,4.58,35,18,116,7.04,4.31,Carolina Panthers / 4th / 128th pick / 2014
Chris Boswell,K,Rice,College Stats,2-Jun,185,4.93,,,,,,
Chris Boyd,WR,Vanderbilt,College Stats,4-Jun,206,4.73,,12,,,,
Tajh Boyd,QB,Clemson,College Stats,1-Jun,222,4.84,30.5,,106,7.33,4.23,New York Jets / 6th / 213th pick / 2014
Carl Bradford,OLB,Arizona State,College Stats,1-Jun,250,4.76,37.5,23,122,7.25,4.3,Green Bay Packers / 4th / 121st pick / 2014
Bashaud Breeland,CB,Clemson,College Stats,11-May,197,4.62,34.5,11,123,7.04,4.33,Washington Redskins / 4th / 102nd pick / 2014
Teddy Bridgewater,QB,Louisville,College Stats,2-Jun,214,,30,,113,7.17,4.2,Minnesota Vikings / 1st / 32nd pick / 2014
Justin Britt,OT,Missouri,College Stats,6-Jun,325,5.19,27.5,23,100,8.14,4.69,Seattle Seahawks / 2nd / 64th pick / 2014
Jay Bromley,DT,Syracuse,College Stats,3-Jun,306,5.06,33.5,26,106,7.92,4.78,New York Giants / 3rd / 74th pick / 2014
Terrence Brooks,S,Florida State,College Stats,11-May,198,4.42,38,10,119,7.35,,Baltimore Ravens / 3rd / 79th pick / 2014
Jonathan Brown,OLB,Illinois,College Stats,Jun-00,238,5.03,31,16,108,7.77,4.56,
John Brown,WR,Pittsburg State,,10-May,179,4.34,36.5,,119,6.91,4.12,Arizona Cardinals / 3rd / 91st pick / 2014
Corey Brown,WR,Ohio State,College Stats,11-May,178,4.51,33,,116,7.16,4.22,
Preston Brown,ILB,Louisville,College Stats,1-Jun,251,4.86,33,23,116,6.98,4.26,Buffalo Bills / 3rd / 73rd pick / 2014
Martavis Bryant,WR,Clemson,College Stats,4-Jun,211,4.42,39,16,124,7.18,4.15,Pittsburgh Steelers / 4th / 118th pick / 2014
Deone Bucannon,S,Washington State,College Stats,1-Jun,211,4.49,36.5,19,125,6.96,4.26,Arizona Cardinals / 1st / 27th pick / 2014
Max Bullough,ILB,Michigan State,College Stats,3-Jun,249,4.78,31,30,112,7.22,4.3,
Isaiah Burse,WR,Fresno State,College Stats,10-May,188,4.58,31,16,115,6.74,3.94,
Trey Burton,WR,Florida,College Stats,2-Jun,224,4.62,30,,112,7.14,4.32,
Michael Campanaro,WR,Wake Forest,College Stats,9-May,192,4.46,39,20,122,6.77,4.01,Baltimore Ravens / 7th / 218th pick / 2014
Ka'Deem Carey,RB,Arizona,College Stats,9-May,207,4.69,32.5,19,115,7.08,4.38,Chicago Bears / 4th / 117th pick / 2014
Derek Carr,QB,Fresno State,College Stats,2-Jun,214,4.69,34.5,,110,,4.2,Oakland Raiders / 2nd / 36th pick / 2014
Ryan Carrethers,DT,Arkansas State,College Stats,1-Jun,337,5.47,26,32,88,7.89,4.6,San Diego Chargers / 5th / 165th pick / 2014
Travis Carrie,CB,Ohio,College Stats,Jun-00,206,4.49,,17,,,,Oakland Raiders / 7th / 219th pick / 2014
Steven Clark,P,Auburn,College Stats,5-Jun,231,5.18,,,,,,
Will Clarke,DE,West Virginia,College Stats,6-Jun,271,4.77,32,22,112,7.26,4.57,Cincinnati Bengals / 3rd / 88th pick / 2014
Ha Ha Clinton-Dix,S,Alabama,College Stats,1-Jun,208,4.58,33,11,119,7.16,4.16,Green Bay Packers / 1st / 21st pick / 2014
Jadeveon Clowney,DE,South Carolina,College Stats,5-Jun,266,4.53,37.5,21,124,7.27,4.43,Houston Texans / 1st / 1st pick / 2014
Ross Cockrell,CB,Duke,College Stats,Jun-00,191,4.56,36.5,10,122,7.28,4.32,Buffalo Bills / 4th / 109th pick / 2014
Brandon Coleman,WR,Rutgers,College Stats,6-Jun,225,4.56,32.5,21,,7.33,4.51,
Deandre Coleman,DT,California,College Stats,5-Jun,314,5.12,,24,,,,
Kain Colter,WR,Northwestern,College Stats,10-May,198,4.71,,,,,,
Aaron Colvin,CB,Oklahoma,College Stats,11-May,177,4.51,,,,,,Jacksonville Jaguars / 4th / 114th pick / 2014
Brandin Cooks,WR,Oregon State,College Stats,10-May,189,4.33,36,16,120,6.76,3.81,New Orleans Saints / 1st / 20th pick / 2014
Damian Copeland,WR,Louisville,College Stats,11-May,184,4.5,40,12,120,6.53,3.9,
J.C. Copeland,FB,LSU,College Stats,11-May,271,4.95,28.5,23,111,7.68,4.58,
Tim Cornett,RB,UNLV,College Stats,Jun-00,209,4.48,34.5,,125,7.01,4.26,
Scott Crichton,DE,Oregon State,College Stats,3-Jun,273,4.84,31.5,24,108,7.19,4.29,Minnesota Vikings / 3rd / 72nd pick / 2014
Isaiah Crowell,RB,Arkansas,,11-May,224,4.57,38,23,117,,,
Chris Davis,CB,Auburn,College Stats,10-May,202,4.54,,15,,,,
Mike Davis,WR,Texas,College Stats,Jun-00,197,4.52,,10,,,,
A.D. Denham,TE,Kansas,,4-Jun,235,4.69,32.5,,,,,
Darqueze Dennard,CB,Michigan State,College Stats,11-May,199,4.52,,15,,,,Cincinnati Bengals / 1st / 24th pick / 2014
Pierre Desir,CB,Lindenwood,,1-Jun,198,4.59,35,11,133,6.86,4.3,Cleveland Browns / 4th / 127th pick / 2014
Ahmad Dixon,S,Baylor,College Stats,Jun-00,212,4.64,32,14,111,7.55,4.5,Dallas Cowboys / 7th / 248th pick / 2014
Brandon Dixon,CB,Northwest Missouri State,,11-May,203,4.41,32.5,17,117,7.15,4.27,New York Jets / 6th / 195th pick / 2014
Aaron Donald,DT,Pittsburgh,College Stats,1-Jun,285,4.68,32,35,116,7.11,4.39,St. Louis Rams / 1st / 13th pick / 2014
Jonathan Dowling,S,Western Kentucky,College Stats,3-Jun,190,4.52,33.5,8,118,7.04,4.24,Oakland Raiders / 7th / 247th pick / 2014
Dakota Dozier,OG,Furman,,4-Jun,313,5.42,24,23,101,8.14,4.89,New York Jets / 4th / 137th pick / 2014
Joe Don Duncan,TE,Dixie State,,3-Jun,268,4.79,,35,,,,
Kony Ealy,DE,Missouri,College Stats,4-Jun,273,4.92,31,22,114,6.83,4.45,Carolina Panthers / 2nd / 60th pick / 2014
Dominique Easley,DT,Florida,College Stats,2-Jun,288,4.93,,26,,,,New England Patriots / 1st / 29th pick / 2014
Eric Ebron,TE,North Carolina,College Stats,4-Jun,250,4.6,32,24,120,,,Detroit Lions / 1st / 10th pick / 2014
Kasim Edebali,OLB,Boston Col.,College Stats,2-Jun,253,4.79,34.5,19,115,7.2,4.35,
Kadeem Edwards,OG,Tennessee State,,4-Jun,313,5.25,27,26,99,7.95,4.82,Tampa Bay Buccaneers / 5th / 143rd pick / 2014
Bruce Ellington,WR,South Carolina,College Stats,9-May,197,4.45,39.5,15,120,6.69,3.95,San Francisco 49ers / 4th / 106th pick / 2014
Justin Ellis,DT,Louisiana Tech,College Stats,1-Jun,334,5.27,28,25,92,7.81,4.75,Oakland Raiders / 4th / 107th pick / 2014
I.K. Enemkpali,DE,Louisiana Tech,College Stats,1-Jun,261,4.86,34,28,112,7.67,4.65,New York Jets / 6th / 210th pick / 2014
Quincy Enunwa,WR,Nebraska,College Stats,2-Jun,225,4.41,,19,,,,New York Jets / 6th / 209th pick / 2014
Mike Evans,WR,Texas A&M,College Stats,5-Jun,231,4.53,37,12,,7.08,4.26,Tampa Bay Buccaneers / 1st / 7th pick / 2014
Shaquelle Evans,WR,UCLA,College Stats,1-Jun,213,4.51,34.5,13,122,7.07,4.21,New York Jets / 4th / 115th pick / 2014
Antone Exum,CB,Virginia Tech,College Stats,Jun-00,213,4.59,35,17,117,7.05,4.13,Minnesota Vikings / 6th / 182nd pick / 2014
David Fales,QB,San Jose State,College Stats,2-Jun,212,4.99,28,,103,7.55,4.5,Chicago Bears / 6th / 183rd pick / 2014
Matt Feiler,OT,Bloomsburg,,6-Jun,330,5.37,26.5,36,103,8.13,4.86,
Anthony Fera,K,Texas,College Stats,1-Jun,211,4.85,,,,,,
Ego Ferguson,DT,LSU,College Stats,3-Jun,315,4.98,,24,,,,Chicago Bears / 2nd / 51st pick / 2014
C.J. Fiedorowicz,TE,Iowa,College Stats,5-Jun,265,4.76,31.5,25,116,7.1,4.26,Houston Texans / 3rd / 65th pick / 2014
Tim Flanders,RB,SMU,,9-May,207,4.75,32,20,113,7.07,,
Cameron Fleming,OT,Stanford,College Stats,5-Jun,323,5.28,23.5,26,97,8.24,5,New England Patriots / 4th / 140th pick / 2014
David Fluellen,RB,Toledo,College Stats,11-May,224,4.72,36.5,,120,6.9,,
Dee Ford,DE,Auburn,College Stats,2-Jun,252,,,,,,,Kansas City Chiefs / 1st / 23rd pick / 2014
Khairi Fortt,OLB,California,College Stats,2-Jun,248,4.7,36,30,120,,,New Orleans Saints / 4th / 126th pick / 2014
Bennie Fowler,WR,Michigan State,College Stats,1-Jun,217,4.52,36,,126,7.06,4.18,
Austin Franklin,WR,New Mexico State,College Stats,11-May,189,4.56,36,7,124,7.07,4.33,
Devonta Freeman,RB,Florida State,College Stats,8-May,206,4.58,31.5,,118,7.11,4.26,Atlanta Falcons / 4th / 103rd pick / 2014
Kyle Fuller,CB,Virginia Tech,College Stats,Jun-00,190,4.49,38.5,12,128,6.9,4.19,Chicago Bears / 1st / 14th pick / 2014
Zach Fulton,OG,Tennessee,College Stats,5-Jun,316,5.16,24.5,25,98,7.87,5.16,Kansas City Chiefs / 6th / 193rd pick / 2014
Tyler Gaffney,RB,Stanford,College Stats,11-May,220,4.49,36.5,,116,6.78,4.18,Carolina Panthers / 6th / 204th pick / 2014
E.J. Gaines,CB,Missouri,College Stats,10-May,190,4.44,,15,,,,St. Louis Rams / 6th / 188th pick / 2014
Phillip Gaines,CB,Rice,College Stats,Jun-00,193,4.38,36.5,11,122,6.62,4.04,Kansas City Chiefs / 3rd / 87th pick / 2014
Jeremy Gallon,WR,Michigan,College Stats,7-May,185,4.49,,15,,,,New England Patriots / 7th / 244th pick / 2014
Jimmy Garoppolo,QB,East. Illinois,,2-Jun,226,4.97,30.5,,110,7.04,4.26,New England Patriots / 2nd / 62nd pick / 2014
James Gayle,DE,Virginia Tech,College Stats,4-Jun,259,4.7,37,26,122,7.19,4.27,
Jeremiah George,ILB,Iowa State,College Stats,11-May,234,4.91,33,28,116,,,New York Jets / 5th / 154th pick / 2014
Justin Gilbert,CB,Oklahoma State,College Stats,Jun-00,202,4.37,35.5,20,126,6.92,,Cleveland Browns / 1st / 8th pick / 2014
Crockett Gillmore,TE,Colorado State,College Stats,6-Jun,260,4.89,33.5,,120,7.42,4.44,Baltimore Ravens / 3rd / 99th pick / 2014
Demetri Goodson,CB,Baylor,College Stats,11-May,194,4.52,37,11,123,6.8,4.34,Green Bay Packers / 6th / 197th pick / 2014
Ryan Grant,WR,Tulane,College Stats,Jun-00,199,4.64,35.5,8,119,6.68,4.11,Washington Redskins / 5th / 142nd pick / 2014
Marion Grice,RB,Arizona State,College Stats,Jun-00,208,4.67,,,,,,San Diego Chargers / 6th / 201st pick / 2014
Xavier Grimble,TE,USC,College Stats,4-Jun,257,4.76,26.5,,113,,,
Ryan Groy,OG,Wisconsin,College Stats,5-Jun,316,5.19,26.5,26,108,7.49,4.47,
Ra'Shede Hageman,DT,Minnesota,College Stats,6-Jun,310,4.92,35.5,32,114,7.87,4.5,Atlanta Falcons / 2nd / 37th pick / 2014
Andre Hal,CB,Vanderbilt,College Stats,10-May,188,4.5,35.5,15,119,7.14,4.27,Houston Texans / 7th / 216th pick / 2014
Jon Halapio,OG,Florida,College Stats,3-Jun,323,5.34,21.5,,100,8.26,4.83,New England Patriots / 6th / 179th pick / 2014
Victor Hampton,CB,South Carolina,College Stats,9-May,197,4.69,33.5,20,118,7.01,4.2,
Jonotthan Harrison,C,Florida,College Stats,3-Jun,304,5.15,27,27,113,7.97,4.86,
Taylor Hart,DE,Oregon,College Stats,6-Jun,281,4.92,,21,,,,Philadelphia Eagles / 5th / 141st pick / 2014
Matt Hazel,WR,Coastal Carolina,,1-Jun,198,4.5,36.5,15,118,7.08,4.2,Miami Dolphins / 6th / 190th pick / 2014
Marcus Heit,LS,Kansas State,,3-Jun,258,4.91,29,,115,,,
Seantrel Henderson,OT,Miami (FL),College Stats,7-Jun,331,5.04,24,,95,8.15,4.77,Buffalo Bills / 7th / 237th pick / 2014
Robert Herron,WR,Wyoming,College Stats,9-May,193,4.48,35.5,18,125,6.84,4.27,Tampa Bay Buccaneers / 6th / 185th pick / 2014
Ryan Hewitt,FB,Stanford,College Stats,4-Jun,246,4.87,33,,109,7.04,4.35,
Jeremy Hill,RB,LSU,College Stats,1-Jun,233,4.56,29,20,113,,,Cincinnati Bengals / 2nd / 55th pick / 2014
Anthony Hitchens,OLB,Iowa,College Stats,Jun-00,240,4.74,31.5,23,116,7.15,4.45,Dallas Cowboys / 4th / 119th pick / 2014
Zach Hocker,K,Arkansas,College Stats,Jun-00,189,4.9,,,,,,Washington Redskins / 7th / 228th pick / 2014
Cody Hoffman,WR,BYU,College Stats,4-Jun,223,4.65,27.5,13,108,6.89,4.2,
Tom Hornsey,P,Memphis,College Stats,3-Jun,221,5.05,,,,,,
Adrian Hubbard,OLB,Alabama,College Stats,6-Jun,257,4.69,38.5,,117,,,
Josh Huff,WR,Oregon,College Stats,11-May,206,4.51,35.5,14,116,,,Philadelphia Eagles / 3rd / 86th pick / 2014
Marqueston Huff,S,Wyoming,College Stats,11-May,196,4.49,35.5,15,118,7.26,4.19,Tennessee Titans / 4th / 122nd pick / 2014
Allen Hurns,WR,Miami (FL),College Stats,1-Jun,198,4.55,31,14,120,7.23,4.5,
James Hurst,OT,North Carolina,College Stats,5-Jun,296,5.59,,,,,,
Carlos Hyde,RB,Ohio State,College Stats,Jun-00,230,4.62,34.5,19,114,,,San Francisco 49ers / 2nd / 57th pick / 2014
Kerry Hyder,DT,Texas Tech,College Stats,2-Jun,290,5.1,29.5,20,108,7.23,4.33,
Louis Nix III,DT,Notre Dame,College Stats,2-Jun,331,5.32,25.5,,97,8.29,4.94,Houston Texans / 3rd / 83rd pick / 2014
Gabe Ikard,C,Oklahoma,College Stats,4-Jun,304,5.13,26,22,103,7.3,4.37,
Andrew Jackson,ILB,Western Kentucky,College Stats,1-Jun,254,4.9,,,,,,Indianapolis Colts / 6th / 203rd pick / 2014
Bennett Jackson,CB,Notre Dame,College Stats,Jun-00,195,4.51,38,13,128,6.75,4,New York Giants / 6th / 187th pick / 2014
Gabe Jackson,OG,Mississippi State,College Stats,3-Jun,336,5.34,29,30,108,8.25,4.78,Oakland Raiders / 3rd / 81st pick / 2014
Nic Jacobs,TE,McNeese State,,5-Jun,269,4.89,,15,,,,
Ja'Wuan James,OT,Tennessee,College Stats,6-Jun,311,5.26,29,22,103,7.42,4.56,Miami Dolphins / 1st / 19th pick / 2014
Kendall James,CB,Maine,,10-May,180,4.44,39,9,,6.81,4.19,Minnesota Vikings / 6th / 184th pick / 2014
Jeff Janis,WR,Saginaw Valley State,,3-Jun,219,4.42,37.5,20,123,6.64,3.98,Green Bay Packers / 7th / 236th pick / 2014
Stanley Jean-Baptiste,CB,Nebraska,College Stats,3-Jun,218,4.61,41.5,13,128,,4.33,New Orleans Saints / 2nd / 58th pick / 2014
Jackson Jeffcoat,DE,Texas,College Stats,3-Jun,247,4.63,36,18,123,6.97,4.18,
Marcel Jensen,TE,Fresno State,College Stats,6-Jun,259,4.85,35,24,115,7.38,4.6,
Timmy Jernigan,DT,Florida State,College Stats,2-Jun,299,5.06,29.5,27,102,,4.83,Baltimore Ravens / 2nd / 48th pick / 2014
Anthony Johnson,DT,LSU,College Stats,2-Jun,308,5.24,24.5,20,102,7.93,4.83,
Dontae Johnson,CB,North Carolina State,College Stats,2-Jun,200,4.41,38.5,12,124,6.82,4.24,San Francisco 49ers / 4th / 129th pick / 2014
Storm Johnson,RB,Central Florida,College Stats,Jun-00,209,4.6,35.5,16,118,,,Jacksonville Jaguars / 7th / 222nd pick / 2014
Wesley Johnson,C,Vanderbilt,College Stats,5-Jun,297,5.11,29,26,111,7.4,4.64,Pittsburgh Steelers / 5th / 173rd pick / 2014
Christian Jones,OLB,Florida State,College Stats,3-Jun,240,4.68,33.5,,115,,,
DaQuan Jones,DT,Penn State,College Stats,4-Jun,322,5.35,27.5,25,101,7.73,4.78,Tennessee Titans / 4th / 112th pick / 2014
Howard Jones,OLB,Shepherd,,2-Jun,235,4.6,40.5,21,124,7.16,4.41,
T.J. Jones,WR,Notre Dame,College Stats,Jun-00,188,4.46,33,,119,6.82,4.27,Detroit Lions / 6th / 189th pick / 2014
Reggie Jordan,FB,Missouri Western State,,3-Jun,240,4.77,30,24,116,7.22,4.3,
Henry Josey,RB,Missouri,College Stats,8-May,194,4.43,34.5,20,118,7.07,4.13,
Lamarcus Joyner,CB,Florida State,College Stats,8-May,184,4.55,37.5,14,124,7.26,4.4,St. Louis Rams / 2nd / 41st pick / 2014
"Odell Beckham, Jr.",WR,LSU,College Stats,11-May,198,4.38,38.5,7,122,6.69,3.94,New York Giants / 1st / 12th pick / 2014
