Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
"James Wilder, Jr.",RB,Florida State,College Stats,3-Jun,232,4.65,35,18,121,6.92,4.24,
Devon Kennard,OLB,USC,College Stats,3-Jun,249,4.7,30,23,113,7.25,4.32,New York Giants / 5th / 174th pick / 2014
Zach Kerr,DT,Tennessee,,1-Jun,326,5.06,28.5,28,99,7.93,4.71,
Christian Kirksey,OLB,Iowa,College Stats,2-Jun,233,4.72,32,16,122,,,Cleveland Browns / 3rd / 71st pick / 2014
Cyrus Kouandjio,OT,Alabama,College Stats,7-Jun,322,5.59,27.5,21,96,7.71,4.84,Buffalo Bills / 2nd / 44th pick / 2014
Kenny Ladler,S,Vanderbilt,College Stats,Jun-00,207,4.7,36.5,24,127,,,
Jarvis Landry,WR,LSU,College Stats,11-May,205,4.65,28.5,12,110,,,Miami Dolphins / 2nd / 63rd pick / 2014
Tyler Larsen,C,Utah State,,4-Jun,313,5.17,23.5,36,102,8.22,4.7,
Cody Latimer,WR,Indiana,College Stats,2-Jun,215,4.52,,23,,,,Denver Broncos / 2nd / 56th pick / 2014
Demarcus Lawrence,DE,Boise State,College Stats,3-Jun,251,4.8,34.5,20,113,7.46,4.31,Dallas Cowboys / 2nd / 34th pick / 2014
Nevin Lawson,CB,Utah State,College Stats,9-May,190,4.48,33,16,120,7.12,4.4,Detroit Lions / 4th / 133rd pick / 2014
Marqise Lee,WR,USC,College Stats,Jun-00,192,4.52,38,,127,,4.01,Jacksonville Jaguars / 2nd / 39th pick / 2014
Charles Leno,OG,Boise State,College Stats,4-Jun,303,5.25,29,21,108,7.57,4.4,Chicago Bears / 7th / 246th pick / 2014
A.C. Leonard,TE,Tennessee State,,2-Jun,252,4.5,34,20,128,,,
Richie Leone,P,Houston,College Stats,3-Jun,211,5.1,,,,,,
Taylor Lewan,OT,Michigan,College Stats,7-Jun,309,4.87,30.5,29,117,7.39,4.49,Tennessee Titans / 1st / 11th pick / 2014
Isaiah Lewis,S,Michigan State,College Stats,10-May,211,4.6,36.5,15,122,7.05,4.47,
Brandon Linder,OG,Miami (FL),College Stats,6-Jun,311,5.35,26.5,30,100,,,Jacksonville Jaguars / 3rd / 93rd pick / 2014
Corey Linsley,C,Ohio State,College Stats,3-Jun,296,5.24,27,36,,,,Green Bay Packers / 5th / 161st pick / 2014
Boseko Lokombo,OLB,Oregon,College Stats,2-Jun,225,4.66,,,122,7.15,4.3,
Spencer Long,OG,Nebraska,College Stats,5-Jun,320,5.16,,,,,,Washington Redskins / 3rd / 78th pick / 2014
Craig Loston,S,LSU,College Stats,1-Jun,217,4.65,32.5,12,119,7.15,4.35,
Cornelius Lucas,OT,Kansas State,,8-Jun,316,5.29,,,,,,
Marcus Lucas,WR,Missouri,College Stats,4-Jun,218,4.6,36,20,124,7.07,4.25,
Colt Lyerla,TE,Oregon,College Stats,4-Jun,242,4.61,39,15,128,,,
Aaron Lynch,DE,South Florida,College Stats,5-Jun,249,4.76,,18,,,,San Francisco 49ers / 5th / 150th pick / 2014
Arthur Lynch,TE,Georgia,College Stats,5-Jun,258,4.82,29.5,28,116,7.38,4.35,Miami Dolphins / 5th / 155th pick / 2014
Jordan Lynch,QB,Northern Illinois,College Stats,Jun-00,217,4.76,29.5,,109,6.55,4.2,
Khalil Mack,OLB,Buffalo,College Stats,3-Jun,251,4.65,40,23,128,7.08,4.18,Oakland Raiders / 1st / 5th pick / 2014
Cody Mandell,P,Alabama,College Stats,2-Jun,216,4.89,27,,109,,,
Eathyn Manumaleuna,DT,BYU,College Stats,2-Jun,296,5.16,28,29,101,7.78,4.61,
Johnny Manziel,QB,Texas A&M,College Stats,Jun-00,207,4.68,31.5,,113,6.75,4.03,Cleveland Browns / 1st / 22nd pick / 2014
Cassius Marsh,DE,UCLA,College Stats,4-Jun,252,4.89,32,14,108,7.08,4.25,Seattle Seahawks / 4th / 108th pick / 2014
Kareem Martin,DE,North Carolina,College Stats,6-Jun,272,4.72,35.5,22,129,7.2,4.33,Arizona Cardinals / 3rd / 84th pick / 2014
Marcus Martin,C,USC,College Stats,3-Jun,320,5.38,,23,,,,San Francisco 49ers / 3rd / 70th pick / 2014
Zack Martin,OG,Notre Dame,College Stats,4-Jun,308,5.22,28,29,106,7.65,4.59,Dallas Cowboys / 1st / 16th pick / 2014
Tre Mason,RB,Auburn,College Stats,8-May,207,4.5,38.5,,126,,4.15,St. Louis Rams / 3rd / 75th pick / 2014
Jeff Mathews,QB,Cornell,,4-Jun,223,5.26,25.5,,105,7.14,4.36,
Jake Matthews,OT,Texas A&M,College Stats,5-Jun,308,5.07,30.5,24,105,7.34,4.47,Atlanta Falcons / 1st / 6th pick / 2014
Jordan Matthews,WR,Vanderbilt,College Stats,3-Jun,212,4.46,35.5,21,120,6.95,4.18,Philadelphia Eagles / 2nd / 42nd pick / 2014
Josh Mauro,DE,Stanford,College Stats,6-Jun,271,5.21,32,21,116,7.43,4.51,
A.J. McCarron,QB,Alabama,College Stats,3-Jun,220,4.94,28,,99,7.18,4.34,Cincinnati Bengals / 5th / 164th pick / 2014
Daniel McCullers,DT,Tennessee,College Stats,7-Jun,352,5.18,20.5,27,97,,,Pittsburgh Steelers / 6th / 215th pick / 2014
Dexter McDougle,CB,Maryland,College Stats,10-May,196,4.47,,,,,,New York Jets / 3rd / 80th pick / 2014
Keith McGill,CB,Utah,College Stats,3-Jun,211,4.51,39,,129,7.29,4.18,Oakland Raiders / 4th / 116th pick / 2014
Jerick McKinnon,RB,Georgia Southern,,9-May,209,4.41,40.5,32,132,6.83,4.12,Minnesota Vikings / 3rd / 96th pick / 2014
Zach Mettenberger,QB,LSU,College Stats,5-Jun,224,,,,,,,Tennessee Titans / 6th / 178th pick / 2014
Jack Mewhort,OT,Ohio State,College Stats,6-Jun,309,5.37,26,28,101,7.79,4.64,Indianapolis Colts / 2nd / 59th pick / 2014
Trey Millard,FB,Oklahoma,College Stats,2-Jun,247,4.64,,,,,,San Francisco 49ers / 7th / 245th pick / 2014
Tevin Mims,DE,South Florida,College Stats,4-Jun,260,4.95,27.5,17,109,,,
Terrance Mitchell,CB,Oregon,College Stats,11-May,192,4.63,34,,117,6.57,4,Dallas Cowboys / 7th / 254th pick / 2014
Donte Moncrief,WR,Mississippi,College Stats,2-Jun,221,4.4,39.5,13,132,7.02,4.3,Indianapolis Colts / 3rd / 90th pick / 2014
Zach Moore,DE,Concordia (MN),,5-Jun,269,4.84,33.5,23,123,7.41,4.46,New England Patriots / 6th / 198th pick / 2014
James Morris,ILB,Iowa,College Stats,1-Jun,241,4.8,34.5,18,117,6.94,4.36,
Stephen Morris,QB,Miami (FL),College Stats,2-Jun,213,4.63,30,,111,7.36,4.49,
Morgan Moses,OT,Virginia,College Stats,6-Jun,314,5.35,21.5,,106,7.93,4.95,Washington Redskins / 3rd / 66th pick / 2014
C.J. Mosley,ILB,Alabama,College Stats,2-Jun,234,4.65,35,,118,7.3,4.4,Baltimore Ravens / 1st / 17th pick / 2014
Adam Muema,RB,San Diego State,College Stats,10-May,202,4.56,,,,,,
Jake Murphy,TE,Utah,College Stats,4-Jun,249,4.79,33,24,114,7.18,4.27,
Trent Murphy,DE,Stanford,College Stats,5-Jun,250,4.86,35.5,19,118,6.78,4.2,Washington Redskins / 2nd / 47th pick / 2014
Aaron Murray,QB,Georgia,College Stats,Jun-00,207,4.84,,,,,,Kansas City Chiefs / 5th / 163rd pick / 2014
Jordan Najvar,TE,Baylor,College Stats,6-Jun,256,4.93,32.5,18,112,7.14,4.47,
Jonathan Newsome,OLB,Ball State,College Stats,3-Jun,247,4.73,34,21,117,7.31,4.63,Indianapolis Colts / 5th / 166th pick / 2014
Troy Niklas,TE,Notre Dame,College Stats,6-Jun,270,4.84,32,27,114,7.57,4.55,Arizona Cardinals / 2nd / 52nd pick / 2014
Kevin Norwood,WR,Alabama,College Stats,2-Jun,198,4.48,33,8,121,6.68,4.32,Seattle Seahawks / 4th / 123rd pick / 2014
Kyle Van Noy,OLB,BYU,College Stats,3-Jun,243,4.71,32.5,21,112,7.22,4.2,Detroit Lions / 2nd / 40th pick / 2014
Pat O'Donnell,P,Miami (FL),College Stats,4-Jun,220,4.64,30.5,23,120,,,Chicago Bears / 6th / 191st pick / 2014
Jeoffrey Pagan,DE,Alabama,College Stats,3-Jun,310,4.92,,,,,,Houston Texans / 6th / 177th pick / 2014
Tenny Palepoi,DT,Utah,College Stats,1-Jun,298,5.1,30.5,31,111,7.67,4.53,
Matt Paradis,C,Boise State,College Stats,3-Jun,306,5.34,26,23,103,7.6,4.46,Denver Broncos / 6th / 207th pick / 2014
Matt Patchan,OT,Boston Col.,,6-Jun,302,4.97,33.5,22,,,,
Jacob Pedersen,TE,Wisconsin,College Stats,3-Jun,238,4.82,28.5,,111,7.55,4.4,
LaDarius Perkins,RB,Mississippi State,College Stats,7-May,195,4.46,35.5,23,124,7.08,4.3,
Kevin Pierre-Louis,OLB,Boston Col.,College Stats,Jun-00,232,4.51,39,28,128,6.92,4.02,Seattle Seahawks / 4th / 132nd pick / 2014
Ronald Powell,OLB,Florida,College Stats,3-Jun,237,4.65,35.5,21,114,,,New Orleans Saints / 5th / 169th pick / 2014
Jabari Price,CB,North Carolina,College Stats,11-May,200,4.45,,16,,7.04,4.3,Minnesota Vikings / 7th / 225th pick / 2014
Calvin Pryor,S,Louisville,College Stats,11-May,207,4.58,34.5,18,116,,,New York Jets / 1st / 18th pick / 2014
Loucheiz Purifoy,CB,Florida,College Stats,11-May,190,4.61,35.5,6,120,,,
Kelcy Quarles,DT,South Carolina,College Stats,4-Jun,297,5.03,23.5,27,102,,,
Kaleb Ramsey,DT,Boston Col.,College Stats,3-Jun,293,,,36,,,,San Francisco 49ers / 7th / 243rd pick / 2014
Keith Reaser,CB,Florida Atlantic,College Stats,11-May,189,4.43,,22,,,,San Francisco 49ers / 5th / 170th pick / 2014
Silas Redd,RB,USC,College Stats,10-May,212,4.7,37,18,122,,,
Tevin Reese,WR,Baylor,College Stats,10-May,163,4.46,41,,132,6.63,4.18,San Diego Chargers / 7th / 240th pick / 2014
Caraun Reid,DT,Princeton,,2-Jun,302,4.91,26.5,20,106,7.59,4.58,Detroit Lions / 5th / 158th pick / 2014
Trevor Reilly,OLB,Utah,College Stats,5-Jun,245,4.67,,26,,,,New York Jets / 7th / 233rd pick / 2014
Bryn Renner,QB,North Carolina,College Stats,3-Jun,228,4.87,25.5,,108,7.22,4.3,
Ed Reynolds,S,Stanford,College Stats,1-Jun,207,4.57,32.5,15,117,,,Philadelphia Eagles / 5th / 162nd pick / 2014
Rashaad Reynolds,CB,Oregon State,College Stats,10-May,189,4.51,37.5,20,123,6.72,4,
Antonio Richardson,OT,Tennessee,,6-Jun,336,5.3,24.5,36,,,,
Cyril Richardson,OG,Baylor,College Stats,5-Jun,329,5.36,25.5,25,91,7.7,4.83,Buffalo Bills / 5th / 153rd pick / 2014
Paul Richardson,WR,Colorado,College Stats,Jun-00,175,4.4,38,,124,7.09,,Seattle Seahawks / 2nd / 45th pick / 2014
Weston Richburg,C,Colorado State,College Stats,3-Jun,298,5.1,25.5,25,106,7.93,4.63,New York Giants / 2nd / 43rd pick / 2014
Marcus Roberson,CB,Florida,College Stats,Jun-00,191,4.61,37.5,8,120,6.84,4.08,
Allen Robinson,WR,Penn State,College Stats,3-Jun,220,4.6,39,,127,7,4,Jacksonville Jaguars / 2nd / 61st pick / 2014
Greg Robinson,OT,Auburn,College Stats,5-Jun,332,4.92,28.5,32,113,7.8,4.86,St. Louis Rams / 1st / 2nd pick / 2014
Bradley Roby,CB,Ohio State,College Stats,11-May,194,4.39,38.5,17,124,,4.04,Denver Broncos / 1st / 31st pick / 2014
Richard Rodgers,TE,California,College Stats,4-Jun,257,4.87,31.5,16,116,7.23,4.47,Green Bay Packers / 3rd / 98th pick / 2014
Michael Sam,DE,Missouri,College Stats,2-Jun,261,4.91,25.5,17,114,7.8,4.7,St. Louis Rams / 7th / 249th pick / 2014
Bishop Sankey,RB,Washington,College Stats,9-May,209,4.49,35.5,26,126,6.75,4,Tennessee Titans / 2nd / 54th pick / 2014
Cairo Santos,K,Tulane,College Stats,8-May,164,4.76,,,,,,
Jalen Saunders,WR,Oklahoma,College Stats,9-May,165,4.44,34,,122,,,New York Jets / 4th / 104th pick / 2014
Tom Savage,QB,Pittsburgh,College Stats,4-Jun,228,4.97,27,,105,7.33,4.36,Houston Texans / 4th / 135th pick / 2014
Michael Schofield,OT,Michigan,College Stats,6-Jun,301,5.01,24,,93,7.62,4.57,Denver Broncos / 3rd / 95th pick / 2014
Lache Seastrunk,RB,Baylor,College Stats,9-May,201,4.51,41.5,15,134,,,Washington Redskins / 6th / 186th pick / 2014
Austin Seferian-Jenkins,TE,Washington,College Stats,5-Jun,262,4.75,,20,,,,Tampa Bay Buccaneers / 2nd / 38th pick / 2014
Connor Shaw,QB,South Carolina,College Stats,Jun-00,206,4.66,34,,116,7.07,4.33,
Ryan Shazier,OLB,Ohio State,College Stats,1-Jun,237,4.58,42,25,130,6.91,4.21,Pittsburgh Steelers / 1st / 15th pick / 2014
Prince Shembo,OLB,Notre Dame,College Stats,1-Jun,253,4.71,38.5,26,122,7.29,4.31,Atlanta Falcons / 4th / 139th pick / 2014
Charles Sims,RB,West Virginia,College Stats,Jun-00,214,4.48,37.5,17,126,7.16,4.3,Tampa Bay Buccaneers / 3rd / 69th pick / 2014
Shayne Skov,ILB,Stanford,College Stats,2-Jun,245,5.09,,,,,,
Yawin Smallwood,ILB,Connecticut,College Stats,2-Jun,246,,36.5,18,108,,,Atlanta Falcons / 7th / 253rd pick / 2014
Chris Smith,OLB,Arkansas,College Stats,1-Jun,266,4.66,37,28,121,7.55,4.46,Jacksonville Jaguars / 5th / 159th pick / 2014
Jerome Smith,RB,Syracuse,College Stats,11-May,220,4.84,36,14,118,7.53,4.6,
Marcus Smith,DE,Louisville,College Stats,3-Jun,251,4.66,35,23,121,7.48,4.47,Philadelphia Eagles / 1st / 26th pick / 2014
Telvin Smith,OLB,Florida State,College Stats,3-Jun,218,4.52,31.5,,119,,,Jacksonville Jaguars / 5th / 144th pick / 2014
Willie Snead,WR,Ball State,College Stats,11-May,195,4.62,33.5,11,113,7.19,4.39,
Daniel Sorensen,S,BYU,College Stats,1-Jun,205,4.67,32,13,114,6.47,3.95,
Dezmen Southward,S,Wisconsin,College Stats,Jun-00,211,4.38,,,,,,Atlanta Falcons / 3rd / 68th pick / 2014
Tyler Starr,OLB,South Dakota,,4-Jun,250,4.95,32,24,116,6.64,4.15,Atlanta Falcons / 7th / 255th pick / 2014
Anthony Steen,OG,Alabama,College Stats,3-Jun,314,5.33,,,,,,
Shamar Stephen,DT,Connecticut,College Stats,5-Jun,309,5.25,30.5,25,103,,,Minnesota Vikings / 7th / 220th pick / 2014
Josh Stewart,WR,Oklahoma State,College Stats,10-May,178,4.69,35,11,117,7.1,4.33,
Ed Stinson,DE,Alabama,College Stats,3-Jun,287,4.98,,,,,,Arizona Cardinals / 5th / 160th pick / 2014
James Stone,C,Tennessee,College Stats,4-Jun,306,5.17,27.5,22,105,8.16,4.63,
Bryan Stork,C,Florida State,College Stats,4-Jun,315,5.44,,,,,,New England Patriots / 4th / 105th pick / 2014
Devin Street,WR,Pittsburgh,College Stats,3-Jun,198,4.55,37,,124,6.89,4.01,Dallas Cowboys / 5th / 146th pick / 2014
Xavier Su'a-Filo,OG,UCLA,College Stats,4-Jun,307,5.04,25,25,102,7.6,4.44,Houston Texans / 2nd / 33rd pick / 2014
Vinnie Sunseri,S,Alabama,College Stats,11-May,210,,,18,,,,New Orleans Saints / 5th / 167th pick / 2014
Will Sutton,DT,Arizona State,College Stats,Jun-00,303,5.36,28.5,24,99,7.93,4.82,Chicago Bears / 3rd / 82nd pick / 2014
Travis Swanson,C,Arkansas,College Stats,5-Jun,312,5.28,26,20,95,7.73,4.65,Detroit Lions / 3rd / 76th pick / 2014
Lorenzo Taliaferro,RB,Coastal Carolina,,Jun-00,229,4.58,33,18,118,6.88,4.22,Baltimore Ravens / 4th / 138th pick / 2014
Brandon Thomas,OG,Clemson,College Stats,3-Jun,317,5.09,29,35,98,8.13,4.83,San Francisco 49ers / 3rd / 100th pick / 2014
De'Anthony Thomas,RB,Oregon,College Stats,9-May,174,4.39,32,8,124,,,Kansas City Chiefs / 4th / 124th pick / 2014
Jemea Thomas,CB,Georgia Tech,College Stats,9-May,192,4.52,37,19,125,,,New England Patriots / 6th / 206th pick / 2014
Logan Thomas,QB,Virginia Tech,College Stats,6-Jun,248,4.61,35.5,,118,7.05,4.18,Arizona Cardinals / 4th / 120th pick / 2014
Robert Thomas,DT,Arkansas,College Stats,1-Jun,327,5.26,,32,,,,
Khyri Thornton,DT,Southern Miss,College Stats,3-Jun,304,5.03,29,28,112,7.83,4.76,Green Bay Packers / 3rd / 85th pick / 2014
D.J. Tialavea,TE,Utah State,College Stats,3-Jun,267,4.95,,,,,,
Jordan Tripp,OLB,Montana,,3-Jun,234,4.67,37.5,22,120,6.89,3.96,Miami Dolphins / 5th / 171st pick / 2014
Stephon Tuitt,DT,Notre Dame,College Stats,5-Jun,304,4.92,,31,,,,Pittsburgh Steelers / 2nd / 46th pick / 2014
Billy Turner,OT,North Dakota State,,5-Jun,315,5.16,28,25,108,7.92,4.71,Miami Dolphins / 3rd / 67th pick / 2014
Trai Turner,OG,LSU,College Stats,3-Jun,310,4.93,27.5,25,,,,Carolina Panthers / 3rd / 92nd pick / 2014
George Uko,DT,USC,College Stats,3-Jun,284,4.99,29.5,18,110,,,
Uani' Unga,ILB,BYU,,1-Jun,231,4.82,,,,,,
Brent Urban,DE,Virginia,College Stats,7-Jun,295,4.98,,,,,,Baltimore Ravens / 4th / 134th pick / 2014
John Urschel,OG,Penn State,College Stats,3-Jun,313,5.31,29,30,102,7.55,4.47,Baltimore Ravens / 5th / 175th pick / 2014
Dustin Vaughan,QB,West Texas A&M,,5-Jun,235,4.95,29,,108,7.25,4.43,
Brock Vereen,S,Minnesota,College Stats,Jun-00,199,4.47,34,25,117,6.9,4.07,Chicago Bears / 4th / 131st pick / 2014
Jason Verrett,CB,TCU,College Stats,9-May,189,4.38,39,,128,6.69,4,San Diego Chargers / 1st / 25th pick / 2014
Jimmie Ward,S,Northern Illinois,College Stats,11-May,193,4.59,,9,,,,San Francisco 49ers / 1st / 30th pick / 2014
Todd Washington,CB,SE Louisiana,,11-May,196,4.57,,13,,,,
L'Damian Washington,WR,Missouri,College Stats,4-Jun,195,4.46,32,8,115,7.19,4.35,
Jaylen Watkins,CB,Florida,College Stats,11-May,194,4.41,,22,,,,Philadelphia Eagles / 4th / 101st pick / 2014
Sammy Watkins,WR,Clemson,College Stats,1-Jun,211,4.43,34,16,126,6.95,4.34,Buffalo Bills / 1st / 4th pick / 2014
Chris Watt,OG,Notre Dame,College Stats,3-Jun,310,5.5,,29,,,,San Diego Chargers / 3rd / 89th pick / 2014
Larry Webster,TE,Bloomsburg,,6-Jun,252,4.58,36.5,17,123,7.29,4.44,Detroit Lions / 4th / 136th pick / 2014
Keith Wenning,QB,Ball State,College Stats,3-Jun,218,5,28,,100,7.07,4.25,Baltimore Ravens / 6th / 194th pick / 2014
Terrance West,RB,Towson,,9-May,225,4.56,33.5,16,120,,,Cleveland Browns / 3rd / 94th pick / 2014
Ethan Westbrooks,DE,West Texas A&M,,3-Jun,267,4.9,29,19,110,7.3,4.67,
Lavelle Westbrooks,CB,Georgia Southern,,11-May,186,4.63,36,15,121,6.98,4.27,Cincinnati Bengals / 7th / 252nd pick / 2014
Chris Whaley,DT,Texas,College Stats,3-Jun,269,5.02,,,,,,
James White,RB,Wisconsin,College Stats,9-May,204,4.57,32,23,114,7.05,4.2,New England Patriots / 4th / 130th pick / 2014
Andre Williams,RB,Boston Col.,College Stats,11-May,230,4.56,38,,129,7.27,4.06,New York Giants / 4th / 113th pick / 2014
Damien Williams,RB,Oklahoma,College Stats,11-May,222,4.45,35.5,16,121,7.37,4.25,
Avery Williamson,ILB,Kentucky,College Stats,1-Jun,246,4.66,30.5,25,120,7.11,4.07,Tennessee Titans / 5th / 151st pick / 2014
Albert Wilson,WR,Georgia State,College Stats,9-May,202,4.43,37.5,10,123,7,4.21,
Kerry Wynn,DE,Richmond,,5-Jun,266,4.97,34,31,113,,,
David Yankey,OG,Stanford,College Stats,6-Jun,315,5.48,28.5,22,103,7.81,4.86,Minnesota Vikings / 5th / 145th pick / 2014
Jordan Zumwalt,OLB,UCLA,College Stats,4-Jun,235,4.76,33,,116,6.99,4.25,Pittsburgh Steelers / 6th / 192nd pick / 2014